link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/jemimaskelley,https://www.buzzfeed.com/amphtml/jemimaskelley,1305,111,3083,94,1
https://www.buzzfeed.com/jemimaskelley,https://www.buzzfeed.com/amphtml/jemimaskelley,1727,62,3558,151,2
https://www.buzzfeed.com/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,https://www.buzzfeed.com/amphtml/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,1641,56,1436,340,0
https://www.buzzfeed.com/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,https://www.buzzfeed.com/amphtml/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,1969,72,857,36,1
https://www.buzzfeed.com/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,https://www.buzzfeed.com/amphtml/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,3150,90,1008,44,2
https://www.buzzfeed.com/lorynbrantz/alpaca-lotta-punch,https://www.buzzfeed.com/amphtml/lorynbrantz/alpaca-lotta-punch,7584,582,1564,831,0
https://www.buzzfeed.com/lorynbrantz/alpaca-lotta-punch,https://www.buzzfeed.com/amphtml/lorynbrantz/alpaca-lotta-punch,5964,2338,1788,362,1
https://www.buzzfeed.com/lorynbrantz/alpaca-lotta-punch,https://www.buzzfeed.com/amphtml/lorynbrantz/alpaca-lotta-punch,2217,75,1061,123,2
https://www.buzzfeed.com/lorynbrantz,https://www.buzzfeed.com/amphtml/lorynbrantz,3411,169,10231,2835,0
https://www.buzzfeed.com/lorynbrantz,https://www.buzzfeed.com/amphtml/lorynbrantz,1655,113,4409,368,1
https://www.buzzfeed.com/lorynbrantz,https://www.buzzfeed.com/amphtml/lorynbrantz,3506,193,2647,171,2
https://www.buzzfeed.com/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,https://www.buzzfeed.com/amphtml/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,5003,124,8659,888,0
