link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/kristinharris,https://www.buzzfeed.com/amphtml/kristinharris,1595,57,2555,69,1
https://www.buzzfeed.com/kristinharris,https://www.buzzfeed.com/amphtml/kristinharris,1682,50,2371,62,2
https://www.buzzfeed.com/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,https://www.buzzfeed.com/amphtml/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,2916,149,1330,432,0
https://www.buzzfeed.com/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,https://www.buzzfeed.com/amphtml/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,2527,68,895,41,1
https://www.buzzfeed.com/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,https://www.buzzfeed.com/amphtml/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,2648,46,1292,80,2
https://www.buzzfeed.com/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,https://www.buzzfeed.com/amphtml/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,2495,57,2586,985,0
https://www.buzzfeed.com/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,https://www.buzzfeed.com/amphtml/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,2325,86,1455,44,1
https://www.buzzfeed.com/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,https://www.buzzfeed.com/amphtml/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,2579,44,1247,35,2
https://www.buzzfeed.com/caseyrackham,https://www.buzzfeed.com/amphtml/caseyrackham,8291,3731,5388,1246,0
https://www.buzzfeed.com/caseyrackham,https://www.buzzfeed.com/amphtml/caseyrackham,1765,57,2912,85,1
https://www.buzzfeed.com/caseyrackham,https://www.buzzfeed.com/amphtml/caseyrackham,1852,49,2360,131,2
https://www.buzzfeed.com/jessicamisener/wyd,https://www.buzzfeed.com/amphtml/jessicamisener/wyd,2732,439,1159,529,0
https://www.buzzfeed.com/jessicamisener/wyd,https://www.buzzfeed.com/amphtml/jessicamisener/wyd,2454,57,722,33,1
https://www.buzzfeed.com/jessicamisener/wyd,https://www.buzzfeed.com/amphtml/jessicamisener/wyd,2616,133,645,39,2
https://www.buzzfeed.com/jessicamisener,https://www.buzzfeed.com/amphtml/jessicamisener,1580,144,3271,1484,0
https://www.buzzfeed.com/jessicamisener,https://www.buzzfeed.com/amphtml/jessicamisener,1784,50,3052,78,1
