link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.theguardian.com/commentisfree/2017/feb/21/democratic-party-resistance-dnc-chair-vote-keith-ellison,https://amp.theguardian.com/commentisfree/2017/feb/21/democratic-party-resistance-dnc-chair-vote-keith-ellison,3812,77,1258,130,0
https://www.theguardian.com/commentisfree/2017/feb/21/democratic-party-resistance-dnc-chair-vote-keith-ellison,https://amp.theguardian.com/commentisfree/2017/feb/21/democratic-party-resistance-dnc-chair-vote-keith-ellison,4125,87,1299,140,1
https://www.theguardian.com/commentisfree/2017/feb/21/democratic-party-resistance-dnc-chair-vote-keith-ellison,https://amp.theguardian.com/commentisfree/2017/feb/21/democratic-party-resistance-dnc-chair-vote-keith-ellison,4577,252,1216,42,2
https://www.theguardian.com/film/2017/feb/21/best-picture-oscar-winners-unforgiven-clint-eastwood-1993,https://amp.theguardian.com/film/2017/feb/21/best-picture-oscar-winners-unforgiven-clint-eastwood-1993,6842,163,1395,179,0
https://www.theguardian.com/film/2017/feb/21/best-picture-oscar-winners-unforgiven-clint-eastwood-1993,https://amp.theguardian.com/film/2017/feb/21/best-picture-oscar-winners-unforgiven-clint-eastwood-1993,4216,66,1414,186,1
https://www.theguardian.com/film/2017/feb/21/best-picture-oscar-winners-unforgiven-clint-eastwood-1993,https://amp.theguardian.com/film/2017/feb/21/best-picture-oscar-winners-unforgiven-clint-eastwood-1993,4011,69,1453,275,2
https://www.theguardian.com/sustainable-business/2017/feb/21/cow-crowd-sustainable-beef-organic-food-seattle,https://amp.theguardian.com/sustainable-business/2017/feb/21/cow-crowd-sustainable-beef-organic-food-seattle,4347,85,1360,206,0
https://www.theguardian.com/sustainable-business/2017/feb/21/cow-crowd-sustainable-beef-organic-food-seattle,https://amp.theguardian.com/sustainable-business/2017/feb/21/cow-crowd-sustainable-beef-organic-food-seattle,4632,93,1398,203,1
https://www.theguardian.com/sustainable-business/2017/feb/21/cow-crowd-sustainable-beef-organic-food-seattle,https://amp.theguardian.com/sustainable-business/2017/feb/21/cow-crowd-sustainable-beef-organic-food-seattle,4117,127,1163,44,2
https://www.theguardian.com/film/2017/feb/21/female-protagonists-high-2016-arrival-rogue-one-ghostbusters,https://amp.theguardian.com/film/2017/feb/21/female-protagonists-high-2016-arrival-rogue-one-ghostbusters,3953,242,1328,180,0
https://www.theguardian.com/film/2017/feb/21/female-protagonists-high-2016-arrival-rogue-one-ghostbusters,https://amp.theguardian.com/film/2017/feb/21/female-protagonists-high-2016-arrival-rogue-one-ghostbusters,7863,193,1504,36,1
https://www.theguardian.com/film/2017/feb/21/female-protagonists-high-2016-arrival-rogue-one-ghostbusters,https://amp.theguardian.com/film/2017/feb/21/female-protagonists-high-2016-arrival-rogue-one-ghostbusters,4028,80,1495,49,2
https://www.theguardian.com/world/2017/feb/21/milo-yiannopoulos-rise-and-fall-shallow-actor-bad-guy-hate-speech,https://amp.theguardian.com/world/2017/feb/21/milo-yiannopoulos-rise-and-fall-shallow-actor-bad-guy-hate-speech,4804,177,1426,130,0
https://www.theguardian.com/world/2017/feb/21/milo-yiannopoulos-rise-and-fall-shallow-actor-bad-guy-hate-speech,https://amp.theguardian.com/world/2017/feb/21/milo-yiannopoulos-rise-and-fall-shallow-actor-bad-guy-hate-speech,5578,184,1331,191,1
https://www.theguardian.com/world/2017/feb/21/milo-yiannopoulos-rise-and-fall-shallow-actor-bad-guy-hate-speech,https://amp.theguardian.com/world/2017/feb/21/milo-yiannopoulos-rise-and-fall-shallow-actor-bad-guy-hate-speech,3979,179,1321,45,2
https://www.theguardian.com/tv-and-radio/2017/feb/21/billions-damian-lewis-paul-giamatti-the-show-so-smart-it-makes-the-west-wing-look-slow,https://amp.theguardian.com/tv-and-radio/2017/feb/21/billions-damian-lewis-paul-giamatti-the-show-so-smart-it-makes-the-west-wing-look-slow,4891,73,1859,183,0
https://www.theguardian.com/tv-and-radio/2017/feb/21/billions-damian-lewis-paul-giamatti-the-show-so-smart-it-makes-the-west-wing-look-slow,https://amp.theguardian.com/tv-and-radio/2017/feb/21/billions-damian-lewis-paul-giamatti-the-show-so-smart-it-makes-the-west-wing-look-slow,3830,87,1355,194,1
https://www.theguardian.com/tv-and-radio/2017/feb/21/billions-damian-lewis-paul-giamatti-the-show-so-smart-it-makes-the-west-wing-look-slow,https://amp.theguardian.com/tv-and-radio/2017/feb/21/billions-damian-lewis-paul-giamatti-the-show-so-smart-it-makes-the-west-wing-look-slow,4742,98,1207,55,2
https://www.theguardian.com/football/live/2017/feb/21/manchester-city-v-monaco-champions-league-last-16-first-leg-live,https://amp.theguardian.com/football/live/2017/feb/21/manchester-city-v-monaco-champions-league-last-16-first-leg-live,4154,88,1725,283,0
https://www.theguardian.com/football/live/2017/feb/21/manchester-city-v-monaco-champions-league-last-16-first-leg-live,https://amp.theguardian.com/football/live/2017/feb/21/manchester-city-v-monaco-champions-league-last-16-first-leg-live,4209,90,2074,299,1
https://www.theguardian.com/football/live/2017/feb/21/manchester-city-v-monaco-champions-league-last-16-first-leg-live,https://amp.theguardian.com/football/live/2017/feb/21/manchester-city-v-monaco-champions-league-last-16-first-leg-live,5392,83,1333,45,2
